title,description,url
INT D - Interdisciplinary Undergraduate & Graduate Courses,"Offered By:
Faculty of Agricultural, Life and Environmental Sciences

Faculty of Arts

Faculty of Business

Faculty of Education

Online and Continuing Education

Faculty of Medicine and Dentistry

Faculty of Nursing

Faculty of Kinesiology, Sport, and Recreation

Faculty of Pharmacy and Pharmaceutical Sciences

Faculty of Rehabilitation Medicine

Faculty of Science

School of Public Health

Faculty of Graduate Studies and Research

Faculty of Engineering",https://apps.ualberta.ca/catalogue/course/int_d
IPG - Integrated Petroleum Geosciences,"Offered By:
Faculty of Science",https://apps.ualberta.ca/catalogue/course/ipg
IRISH - Irish Language and Culture,"Offered By:
Faculty of Arts",https://apps.ualberta.ca/catalogue/course/irish
ITAL - Italian,"Offered By:
Faculty of Arts",https://apps.ualberta.ca/catalogue/course/ital
JAPAN - Japanese,"Offered By:
Faculty of Arts",https://apps.ualberta.ca/catalogue/course/japan
KIN - Kinesiology,"Offered By:
Faculty of Kinesiology, Sport, and Recreation",https://apps.ualberta.ca/catalogue/course/kin
KOREA - Korean,"Offered By:
Faculty of Arts",https://apps.ualberta.ca/catalogue/course/korea
"KRLS - Kinesiology, Recreation, Leisure and Sport","Offered By:
Faculty of Kinesiology, Sport, and Recreation",https://apps.ualberta.ca/catalogue/course/krls
"KSR - Kinesiology, Sport, and Recreation","Offered By:
Faculty of Kinesiology, Sport, and Recreation",https://apps.ualberta.ca/catalogue/course/ksr
LA ST - Latin American Studies,"Offered By:
Faculty of Arts",https://apps.ualberta.ca/catalogue/course/la_st
LABMP - Laboratory Medicine and Pathology,"Offered By:
Faculty of Medicine and Dentistry",https://apps.ualberta.ca/catalogue/course/labmp
LATIN - Latin,"Offered By:
Faculty of Arts",https://apps.ualberta.ca/catalogue/course/latin
LAW - Law,"Offered By:
Faculty of Law",https://apps.ualberta.ca/catalogue/course/law
LING - Linguistics,"Offered By:
Faculty of Arts",https://apps.ualberta.ca/catalogue/course/ling
LINGQ - FSJ - Linguistique,"Offered By:
Faculté Saint-Jean",https://apps.ualberta.ca/catalogue/course/lingq
LIS - Library and Information Studies,"Offered By:
Faculty of Education",https://apps.ualberta.ca/catalogue/course/lis
LITT - FSJ - Littérature,"Offered By:
Faculté Saint-Jean",https://apps.ualberta.ca/catalogue/course/litt
M EDU - FSJ - Maîtrise ès sciences de l'éducation,"Offered By:
Faculté Saint-Jean",https://apps.ualberta.ca/catalogue/course/m_edu
M REG - Maintaining Registration,"Offered By:
Faculty of Graduate Studies and Research",https://apps.ualberta.ca/catalogue/course/m_reg
MA PH - Mathematical Physics,"Offered By:
Faculty of Science",https://apps.ualberta.ca/catalogue/course/ma_ph
MA SC - Marine Science,"Offered By:
Faculty of Science",https://apps.ualberta.ca/catalogue/course/ma_sc
MACE - Community Engagement,"Offered By:
School of Public Health",https://apps.ualberta.ca/catalogue/course/mace
MAFSJ - FSJ - Maitrise en Art Faculté Saint-Jean,"Offered By:
Faculté Saint-Jean",https://apps.ualberta.ca/catalogue/course/mafsj
MARK - Marketing,"Offered By:
Faculty of Business",https://apps.ualberta.ca/catalogue/course/mark
MAT E - Materials Engineering,"Offered By:
Faculty of Engineering",https://apps.ualberta.ca/catalogue/course/mat_e
MATH - Mathematics,"Offered By:
Faculty of Science",https://apps.ualberta.ca/catalogue/course/math
MATHQ - FSJ - Mathématiques,"Offered By:
Faculté Saint-Jean",https://apps.ualberta.ca/catalogue/course/mathq
MCTR - Mechatronics & Robotics Engg,"Offered By:
Faculty of Engineering",https://apps.ualberta.ca/catalogue/course/mctr
MDGEN - Medical Genetics,"Offered By:
Faculty of Medicine and Dentistry",https://apps.ualberta.ca/catalogue/course/mdgen
MEC E - Mechanical Engineering,"Offered By:
Faculty of Engineering",https://apps.ualberta.ca/catalogue/course/mec_e
MED - Medicine,"Offered By:
Faculty of Medicine and Dentistry",https://apps.ualberta.ca/catalogue/course/med
MEDPH - Medical Physics,"Offered By:
Faculty of Medicine and Dentistry",https://apps.ualberta.ca/catalogue/course/medph
